KU_KOD;KU_NAZEV;CELKOVY_POCET_PARCEL;CELKOVA_VYMERA;Orn· p˘da(2)-v˝mÏra;Chmelnice(3)-v˝mÏra;Vinice(4)-v˝mÏra;Zahrada(5)-v˝mÏra;Ovocn˝ sad(6)-v˝mÏra;Trval˝ travnÌ porost(7)-v˝mÏra;LesnÌ pozemek(10)-v˝mÏra;VodnÌ plocha(11)-v˝mÏra;ZastavÏn· plocha a n·dvo¯Ì(13)-v˝mÏra;OstatnÌ plocha(14)-v˝mÏra;DOMY_S_CP;STAVBY_S_CE;LV
600997;Neratov v Orlick˝ch hor·ch;862;8124407;0;0;0;13150;0;1114323;6767777;39579;39592;149986;14;50;92
601004;Nov· Ves v Orlick˝ch hor·ch;365;5024442;2756;0;0;354;0;461712;4368086;69353;12215;109966;10;27;66
601012;PodlesÌ v Orlick˝ch hor·ch;181;2105254;0;0;0;3454;0;377356;1598075;46656;9549;70164;4;12;30
601021;VrchnÌ Orlice;565;5753883;0;0;0;180;0;3270390;2070712;54827;28541;329233;4;20;48
601039;Mal· Strana v Orlick˝ch hor·ch;65;1472121;0;0;0;0;0;3516;1418305;9491;624;40185;1;0;5
601047;Ba¯ice;856;3273308;2325991;0;0;148447;83286;192908;259948;22534;57158;183036;88;2;191
601055;VelkÈ TÏöany;1155;3413824;2333151;0;0;169371;66623;134075;210304;13942;47456;438902;86;2;286
601063;Baöka;3466;5265153;1386676;0;0;476928;10321;685356;1334075;423525;239069;709203;558;47;1026
601080;HodoÚovice;1916;3045362;713914;0;0;242880;4624;511218;824592;161002;97677;489455;235;46;534
601098;KunËiËky u Baöky;2609;4523188;2224708;0;0;388257;7676;557885;483861;151276;161170;548355;430;8;753
601101;Baönice;1814;6126458;3794990;0;0;66817;1441;329193;1468614;30907;118414;316082;94;0;280
601128;Baöù;2867;7805568;5161824;0;0;339500;42385;37835;1543607;42799;170101;467517;659;8;1087
601144;Batelov;7442;13574986;7239053;0;0;220964;13030;1828680;2522711;231772;280246;1238530;605;66;1067
601152;BatÚovice;2310;4466762;1598926;0;0;400347;0;1019933;931508;37198;132929;345921;279;36;541
601179;Bavorov;6157;11264505;5524490;0;0;212314;133130;1568437;2031865;301744;262452;1230073;536;48;926
601195;Tourov;355;3444014;1785090;0;0;40312;8789;169516;1285674;18820;19229;116584;18;0;69
601209;Bavory;1726;5003642;2652479;0;1003165;109699;19420;77091;300303;60919;89455;691111;154;0;344
601217;BavorynÏ;783;2223961;1533323;0;0;53905;27583;154122;62238;32921;46906;312963;105;0;256
601225;BdÌn;931;2116514;1284528;2141;0;37214;12279;244403;337296;21794;43872;132987;43;1;101
601233;BeËov u Mostu;1334;13634864;8782826;0;0;122089;100454;2521487;376462;187701;98146;1445699;175;1;386
601241;Mil·;298;2174432;1363732;0;0;41865;0;489457;134711;342;19604;124721;29;1;65
601250;ZajeËice u BeËova;354;2918972;2274009;0;0;60727;0;52843;92557;131998;15407;291431;20;1;50
601268;BeËov nad Teplou;2630;12495723;31220;0;0;175779;0;1975982;8441884;366440;120131;1384287;285;17;502
601276;Kr·sn˝ Jez;531;3896536;275646;0;0;60398;0;1025266;1855619;78927;36346;564334;35;12;88
601284;Vodn· u BeËova nad Teplou;364;3424960;86054;0;0;19939;0;256455;2884257;32079;15995;130181;28;2;48
601292;BeËv·ry;1204;6299199;4868661;0;0;120326;25646;161854;86141;378760;176286;481525;187;17;450
601306;»erven˝ Hr·dek u BeËv·r;848;4049478;2302766;0;0;83453;30082;174104;1033095;38904;85945;301129;105;12;237
601314;PoÔousy;358;1725900;1323782;0;0;37818;7102;138327;41661;55935;36705;84570;37;5;110
601322;ZadnÌ Hr·dek;111;786545;704138;0;0;50;554;23883;9726;11565;2898;33731;1;0;55
601331;Bedihoöù;1547;6465619;4741175;0;0;216444;20084;114165;9904;56455;171387;1136005;331;1;533
601349;Bedn·rec;1310;7812229;3002233;0;0;61886;0;1372241;2676875;239096;44257;415641;65;1;117
601357;Bedn·reËek;1260;6939643;2899309;0;0;81181;25791;1214167;2155660;98739;51640;413156;122;1;207
601365;Bed¯ichov u Jablonce nad Nisou;1936;24257908;0;0;0;40316;0;1207112;21673691;569853;110928;656008;151;238;581
601373;Bed¯ichov;1702;6282443;1700933;0;0;96623;10915;202476;3967100;6157;47024;251215;114;9;245
601381;Bed¯ichovice;1033;1751763;1413598;0;0;48512;0;6638;0;10253;47557;225205;119;3;249
601390;BÏha¯ov;1292;3213385;1101759;0;0;89289;9583;1394910;269911;41221;51072;255640;55;8;169
601403;Dubov· Lhota;623;1665818;776987;0;0;25696;0;648061;15832;50527;27209;121506;20;4;59
601411;⁄borsko;429;1154183;496936;0;0;34089;0;415856;44352;3919;16799;142232;22;10;62
601420;BÏha¯ovice;760;3981850;3452798;0;0;48926;9894;60832;46596;23242;74443;265119;90;0;156
601438;Ratiöovice;979;3966612;2791888;0;0;83490;39228;57808;662716;15334;51409;264739;65;0;153
601446;Stupeöice;938;6081024;4758329;0;0;44104;2489;93032;864045;19058;65575;234392;66;0;152
601462;BÏchary;1166;8792978;6747342;0;0;78099;67439;521947;727171;84195;167401;399384;122;3;317
601471;BechlÌn;1734;11714458;6690295;293715;62238;180499;426883;113906;3083605;29249;147333;686735;277;1;675
601497;P¯edonÌn;1398;3528983;1554762;0;23646;106560;100930;115693;775635;24285;86350;741122;178;12;361
601501;Bechov;910;3520151;1364711;0;0;81162;19643;133257;1658437;34991;49027;178923;88;28;214
601527;BÏchovice;2484;6834936;3605034;0;0;304074;5052;174126;348362;114196;244011;2040081;552;0;919
601543;BechynÏ;4252;7767772;3003645;0;0;514238;9029;502860;1732290;286506;417496;1301708;1083;323;2502
601560;Senoûaty u BechynÏ;363;2546134;1799151;0;0;57805;0;149838;373995;7748;33398;124199;40;12;117
601586;BÏl· u HornÌ Cerekve;686;3311578;1507118;0;0;41613;0;558379;1055175;38982;21426;88885;32;1;68
601594;BÏl·;1068;3929338;2953688;0;0;122943;51038;112340;459349;13190;56309;160481;104;0;208
601608;BÏl· u StarÈ Paky;2534;7759174;2691362;0;0;44535;0;2164592;2031914;80870;65554;680347;145;0;258
601616;BÏl· ve Slezsku;1022;2864897;1261972;0;0;91795;0;330168;867465;82411;88982;142104;197;0;275
601624;BÏl· nad Radbuzou;2442;12559803;6267460;0;0;186997;0;2158434;2783376;95738;183448;884350;303;5;530
